id.x,filename,ident,name.x,type.x,frequency_khz,latitude_deg.x,longitude_deg.x,elevation_ft.x,iso_country.x,magnetic_variation_deg,usage_type,power,associated_airport,power_category,id.y,type.y,name.y,latitude_deg.y,longitude_deg.y,elevation_ft.y,continent,iso_country.y,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,x16,x17,x18,airport_type,airport_size,latitude,longitude,distance_from_dc,is_critical_navaid
85050,Williams_Harbour_NDB_CA,1A,Williams Harbour,ndb,373,52.55889893,-55.78219986,70,CA,-23.072,LO,MEDIUM,CCA6,High,743,small_airport,Williams Harbour Airport,52.567377,-55.784883,70,NA,CA,CA-NL,Williams Harbour,yes,CCA6,YWM,CCA6,NA,NA,NA,small_airport,Small,52.55889893,-55.78219986,25.26125811824659,FALSE
85051,Sable_Island_NDB_CA,1B,Sable Island,ndb,277,43.93059921,-60.02289963,NA,CA,-19.1,LO,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.93059921,-60.02289963,17.740088731835275,FALSE
85052,Nanaimo_DME_CA,1CD,Nanaimo,dme,111450,49.05720139,-123.8720016,83,CA,18.282,LO,LOW,CYCD,High,1687,medium_airport,Nanaimo Airport,49.05497,-123.869863,92,NA,CA,CA-BC,Nanaimo,yes,CYCD,YCD,NA,NA,NA,NA,medium_airport,Other,49.05720139,-123.8720016,47.922325382845564,FALSE
85053,Charlottetown_NDB_CA,1D,Charlottetown,ndb,346,52.77500153,-56.12400055,209,CA,-23.163,LO,LOW,CCH4,High,758,small_airport,Charlottetown Airport,52.765774,-56.11237,209,NA,CA,CA-NL,Charlottetown,yes,CCH4,YHG,CCH4,NA,NA,NA,small_airport,Small,52.77500153,-56.12400055,25.09313218156077,FALSE
85054,Black_Tickle_NDB_CA,1E,Black Tickle,ndb,349,53.46670151,-55.78739929,NA,CA,-23.398,LO,LOW,CCE4,High,752,small_airport,Black Tickle Airport,53.469836,-55.787501,57,NA,CA,CA-NL,Black Tickle,no,CCE4,YBI,CCE4,NA,NA,NA,small_airport,Small,53.46670151,-55.78739929,25.758889041338385,FALSE
85055,Manta_NDB_CA,1F,Manta,ndb,363,47.63059998,-65.74469757,193,CA,-19.367,LO,MEDIUM,CZBF,High,2010,medium_airport,Bathurst Airport,47.6297,-65.738899,193,NA,CA,CA-NB,South Tetagouche,yes,CZBF,ZBF,NA,NA,NA,NA,medium_airport,Other,47.63059998,-65.74469757,14.269251659816009,FALSE
85056,Zama_Lake_NDB_CA,1K,Zama Lake,ndb,227,59.02330017,-118.8430023,NA,CA,21.275,LO,MEDIUM,CFT9,High,999,small_airport,Zama Lake Airport,59.06389999,-118.8899994,1242,NA,CA,CA-AB,Zama Lake,no,CFT9,NA,CFT9,NA,NA,NA,small_airport,Small,59.02330017,-118.8430023,46.3940478463298,FALSE
85057,North_Of_Sixty_NDB_CA,1S,North Of Sixty,ndb,350,60.31890106,-103.1289978,NA,CA,9.589,LO,LOW,CKV4,High,1244,small_airport,North of Sixty Airport,60.31639862,-103.1289978,1195,NA,CA,CA-NT,Obre Lake,no,CKV4,YDW,CKV4,NA,NA,NA,small_airport,Small,60.31890106,-103.1289978,33.75290372527332,FALSE
85058,Lloydminster_DME_CA,1T,Lloydminster,dme,110700,53.31330109,-110.0800018,2210,CA,14.486,BOTH,LOW,CYLL,High,1803,medium_airport,Lloydminster Airport,53.30920029,-110.072998,2193,NA,CA,CA-AB,Lloydminster,yes,CYLL,YLL,NA,NA,NA,NA,medium_airport,Other,53.31330109,-110.0800018,36.046946128354094,FALSE
85059,Masset_NDB_CA,1U,Masset,ndb,278,54.03170013,-132.1269989,25,CA,21.073,LO,MEDIUM,CZMT,High,2030,medium_airport,Masset Airport,54.02750015,-132.125,25,NA,CA,CA-BC,Masset,yes,CZMT,ZMT,NA,NA,NA,NA,medium_airport,Other,54.03170013,-132.1269989,57.12853491027185,FALSE
85060,Sandy_Bay_NDB_CA,1W,Sandy Bay,ndb,412,55.54330063,-102.276001,1000,CA,8.555,LO,MEDIUM,CJY4,High,1152,small_airport,Sandy Bay Airport,55.54560089,-102.2720032,1001,NA,CA,CA-SK,Sandy Bay,no,CJY4,NA,CJY4,NA,NA,NA,small_airport,Small,55.54330063,-102.276001,30.228662945285667,FALSE
85061,South_Indian_Lake_NDB_CA,2A,South Indian Lake,ndb,300,56.79389954,-98.90429688,974,CA,5.097,LO,LOW,CZSN,High,2038,medium_airport,South Indian Lake Airport,56.7928009,-98.90720367,951,NA,CA,CA-MB,South Indian Lake,no,CZSN,XSI,ZSN,NA,NA,NA,medium_airport,Other,56.79389954,-98.90429688,28.250965766530353,FALSE
85062,Springdale_NDB_CA,2B,Springdale,ndb,364,49.49000168,-56.18470001,250,CA,-21.312,LO,MEDIUM,CCD2,High,748,small_airport,Springdale Airport,49.479446,-56.177773,250,NA,CA,CA-NL,Springdale,no,CCD2,NA,CCD2,NA,NA,NA,small_airport,Small,49.49000168,-56.18470001,23.383967495298286,FALSE
85063,Bathurst_DME_CA,2F,Bathurst,dme,114400,47.63140106,-65.74440002,191,CA,-19.367,BOTH,LOW,CZBF,High,2010,medium_airport,Bathurst Airport,47.6297,-65.738899,193,NA,CA,CA-NB,South Tetagouche,yes,CZBF,ZBF,NA,NA,NA,NA,medium_airport,Other,47.63140106,-65.74440002,14.269976872216898,FALSE
85064,Lebel-sur-Quevillon_NDB_CA,2H,Lebel-sur-Quevillon,ndb,261,49.03720093,-77.02079773,NA,CA,-14.363,BOTH,LOW,CSH4,High,1521,small_airport,Lebel-sur-Quevillon Airport,49.03030014,-77.01719666,960,NA,CA,CA-QC,Lebel-sur-Quévillon,no,CSH4,YLS,CSH4,NA,NA,NA,small_airport,Small,49.03720093,-77.02079773,10.130013727774504,FALSE
85065,Grand_Forks_NDB-DME_CA,2J,Grand Forks,ndb-dme,250,49.01750183,-118.4240036,1720,CA,17.114,LO,LOW,CZGF,High,2019,medium_airport,Grand Forks Airport,49.015598,-118.431,1720,NA,CA,CA-BC,Grand Forks,no,CZGF,ZGF,NA,NA,NA,NA,medium_airport,Other,49.01750183,-118.4240036,42.6041142084991,FALSE
85066,Camrose_NDB_CA,2K,Camrose,ndb,405,53.03219986,-112.8130035,2426,CA,16.163,LO,MEDIUM,CEQ3,High,888,small_airport,Camrose Airport,53.04029846,-112.8160019,2426,NA,CA,CA-AB,Camrose,no,CEQ3,NA,CEQ3,NA,NA,NA,small_airport,Small,53.03219986,-112.8130035,38.46355681275084,FALSE
