id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,magnetic_variation_deg,usage_type,power,associated_airport,power_category
85050,Williams_Harbour_NDB_CA,1A,Williams Harbour,ndb,373,52.55889893,-55.78219986,70,CA,-23.072,LO,MEDIUM,CCA6,High
85051,Sable_Island_NDB_CA,1B,Sable Island,ndb,277,43.93059921,-60.02289963,NA,CA,-19.1,LO,MEDIUM,NA,High
85052,Nanaimo_DME_CA,1CD,Nanaimo,dme,111450,49.05720139,-123.8720016,83,CA,18.282,LO,LOW,CYCD,High
85053,Charlottetown_NDB_CA,1D,Charlottetown,ndb,346,52.77500153,-56.12400055,209,CA,-23.163,LO,LOW,CCH4,High
85054,Black_Tickle_NDB_CA,1E,Black Tickle,ndb,349,53.46670151,-55.78739929,NA,CA,-23.398,LO,LOW,CCE4,High
85055,Manta_NDB_CA,1F,Manta,ndb,363,47.63059998,-65.74469757,193,CA,-19.367,LO,MEDIUM,CZBF,High
85056,Zama_Lake_NDB_CA,1K,Zama Lake,ndb,227,59.02330017,-118.8430023,NA,CA,21.275,LO,MEDIUM,CFT9,High
85057,North_Of_Sixty_NDB_CA,1S,North Of Sixty,ndb,350,60.31890106,-103.1289978,NA,CA,9.589,LO,LOW,CKV4,High
85058,Lloydminster_DME_CA,1T,Lloydminster,dme,110700,53.31330109,-110.0800018,2210,CA,14.486,BOTH,LOW,CYLL,High
85059,Masset_NDB_CA,1U,Masset,ndb,278,54.03170013,-132.1269989,25,CA,21.073,LO,MEDIUM,CZMT,High
85060,Sandy_Bay_NDB_CA,1W,Sandy Bay,ndb,412,55.54330063,-102.276001,1000,CA,8.555,LO,MEDIUM,CJY4,High
85061,South_Indian_Lake_NDB_CA,2A,South Indian Lake,ndb,300,56.79389954,-98.90429688,974,CA,5.097,LO,LOW,CZSN,High
85062,Springdale_NDB_CA,2B,Springdale,ndb,364,49.49000168,-56.18470001,250,CA,-21.312,LO,MEDIUM,CCD2,High
85063,Bathurst_DME_CA,2F,Bathurst,dme,114400,47.63140106,-65.74440002,191,CA,-19.367,BOTH,LOW,CZBF,High
85064,Lebel-sur-Quevillon_NDB_CA,2H,Lebel-sur-Quevillon,ndb,261,49.03720093,-77.02079773,NA,CA,-14.363,BOTH,LOW,CSH4,High
85065,Grand_Forks_NDB-DME_CA,2J,Grand Forks,ndb-dme,250,49.01750183,-118.4240036,1720,CA,17.114,LO,LOW,CZGF,High
